Column_or_Row_Name,Unit,Definition,Column_or_Row_Long_Name,Data_Type
Datetime,mm/dd/yy hh:mm,datetime of datapoints,Datetime,datetime
O2 Concentration (%),%,O2% corrected for salinity,Oxygen Concentration (%),numeric
Dissolved Oxygen (mg/L),mg/L,DO in mg/L corrected for salinity,Dissolved Oxygen (mg/L),numeric
DO Sensor Temperature (C) ,°C,Temperature of Opti O2 DO sensor in °C,Dissolved Oxygen Sensor Temperature (C) ,numeric
Well Salinity (PPT),PPT,salinity of groundwater in well in PPT,Well Salinity (PPT),numeric
Flood plain water level in BGS (cm),cm,Depth of water in well in cm Below Ground Surface,Flood plain water level in BGS (cm),numeric
WEATHER TIMESTAMP TS,mm/dd/yy hh:mm,datetime of weather station datapoints,WEATHER TIMESTAMP TS,datetime
SlrFD_kW_Avg ,kW/m^2,Average solar flux density over 5 minutes in kW/m^2,Solar Flux Density kilowatts average,numeric
Precip (mm) over 5 minutes,mm,Approximate total precipitation over 5 minutes in mm (corrected by multipling by 5),Precipitation (mm) over 5 minutes,numeric
AirT_C_Avg,°C,Average air temperature over 5 minutes in °C,Air Temperature C Average,numeric
BP_hPa,hPa,Barometric pressure sampled at current timestamp in hPa,Barometric Pressure hPa,numeric
SlrTF_MJ_Tot,MJ/m^2,Total solar flux over 5 minutes in MJ/m^2,Solar Total Flux Megajoules Total,numeric
WS_ms_S_WVT,m/s,Wind speed at timestamp in m/s,Wind Speed m/s ,numeric
VP_hPa_Avg,hPa,Average vapor pressure over 5 minutes in hPa,Vapor Pressure hPa Average,numeric
RH,%,Relative humidity at timestamp in %,Relative Humidity,numeric
